Department,NO,Name,Credit,Description
MEPS,610,Physiological and Molecular Basis for Plant Stress Response,3,Provide the tools to understand the molecular and physiological consequences caused by environmental factors (abotic and biotic) on plant growth and development and the mechanisms of stress adaptation to stress. Prerequisite: MEPS 313 or equivalent. Cross Listing: HORT 610/MEPS 610.
MEPS,618,Root Biology,3,"Basic concepts and current topics in root-soil ecology; managed and natural ecosystems including grasslands, cropping systems and forests; role of roots in the rhizosphere, the effects of soil, nutrient and water stress and climate change in C and N cycling and carbon sequestration; participate in discussions and critique recent literature. Prerequisite: Approval of instructor. Cross Listing: HORT 618/MEPS 618."
MEPS,619,Plant-Associated Microorganisms,3,"Basic concepts and current topics in plant-microbe interactions including the diversity of plant-associated microorganisms; the plant as a microbial environment; endophytes; microbial roles in plant nutrition and fitness; uses of microorganisms for improved plant health and sustainable agriculture; microbial roles in food safety and future challenges; discussion of current literature. Prerequisites: Basic plant biology or plant ecology is recommended; microbiology is helpful, but not required. Cross listed with HORT 619 and MEPS 619."
MEPS,620,Plant Cell Structure and Function,3,"Overview of plant cell organization, function and physiology to incorporate whole-plant processes with sub-cellular, molecular and genetic mechanisms; origin of eukaryotic cells, nuclear organization and processes, cell cycle, organelle biogenesis and inheritance, photosynthesis, endomembrane system, cell trafficking, symplast, cytoskeleton, extracellular matrix, cell wall, disease, plant microbe interaction, development and differentiation. Prerequisites: MEPS 313 or equivalent, graduate classification, or permission of the instructor."
MEPS,650,Plant Cell Culture for Crop Improvement,3,"Focus on techniques in plant cell culture which can be applied to all crop plants, including agronomic crops, horticulture and forestry crops for germplasm improvement. Prerequisites: MEPS 313; CHEM 101; graduate classification."
MEPS,654,Analysis of Complex Genomes,3,"History and current status of genetic and molecular analysis of higher eukaryotic genomes; coverage of techniques for dissection of genomes into manageable parts; investigations in genetics, breeding and evolution; emphasis on quantitative inheritance, genetic mapping, physical mapping, map-based cloning, with examples drawn from a wide range of organisms. Prerequisite: GENE 603. Cross Listing: GENE 654 and SCSC 654."
MEPS,655,Analysis of Complex Genomes ab,3,"Analysis of Complex Genomes--Lab.   Laboratory methods in molecular genetic techniques for genetic mapping, physical mapping, and map-based cloning of both qualitative and quantitative phenotypes. Prerequisite: GENE 603 or equivalent or approval of instructor. Cross Listing: SCSC 655 and GENE 655."
MEPS,671,Plant Growth and Development,3,"Comprehensive analysis of plant development primarily focused on the molecular and cellular processes underlying morphogenesis, vegetative growth and reproduction; role of the major phytohormones as coordinators of development will be analyzed; plastic development responses to conditioning environmental signals. Prerequisites: MEPS 601 or approval of instructor. Cross Listing: SCSC 671/MEPS 671."
MEPS,681,Seminar,1,"Professional development for students pursuing careers in plant physiology; oral and poster presentations, writing skills, grantsmanship, job search and the promotion and tenure process."
MEPS,685,Directed Studies,4,Individual problems or research not pertaining to thesis or dissertation. Prerequisite: MEPS 313.
MEPS,689,Special Topics in...,4,Selected topics in an identified area of plant physiology. May be repeated for credit. Prerequisite: Approval of instructor.
MEPS,691,Research,3,Original investigations in support of thesis or dissertation.
METR,302,Weather Reports and Forecasting,3,Weather and Reports Forecasting.   Basic description of atmospheric characteristics and processes relevant to the understanding of weather patterns and atmospheric principles. Prerequisite: Junior or senior classification or approval of instructor.
MFCM,600,Introduction to Clinical Skills I,2,"Introduction to patient care: medical vocabulary, professional conduct, patient interviewing, how to take and record a medical history, clinical reasoning based on the chief complaint. Prerequisite: Admission to Medical school."
MFCM,601,Introduction to Clinical Skills II,2,"Performing the physical exam, integrating history and physical exam to formulate the differential diagnosis."
MFCM,800,Family Medicine Clerkship,7,To provide an introductory experience in the practice of family medicine. Prerequisite: Satisfactory completion of year three of the medical school curriculum.
MFCM,801,Family Medicine Outpatient Clinic,1,"25 to 10. This elective will provide a conducive learning environment for advanced experience in managing common ambulatory illness. It will expose the student to clinical learning situations that provide an opportunity for the students to enhance and improve the skills required of a family practitioner, including history, physical, differential diagnosis, evaluation and treatment regimens. It will illustrate the broad aspects of the practice of Family Medicine as a specialty that strives for continuity, quality, and comprehensive care, and an emphasis on the patient with a disease in the context of his environment.  It will allow the student to become comfortable with his assessments and develop confidence in his therapeutic decisions. The student will be mentored in a fashion that clearly demonstrates that the Family Physician plays a vital role as a patient advocate that honors life."
MFCM,802,Indigent Health Care,1,"25 to 10. Participants will actively manage the student-run clinic at HFA, mentor and teach M1 and M2 students in their clinical assessment and presentation skills, and assist M1 and M2 students in medical record preparation. All aspects occur under direct, on site supervision, by Health Science Center faculty."
MFCM,805,Ambulatory Family Medicine,1,"25 to 10. This course will provide a learning environment for advanced experience in managing common ambulatory illnesses. During this private practice experience, students will be exposed to clinical learning situations that provide an opportunity to enhance and improve the skills required of a family physician. The core values of Family Medicine as a specialty will be emphasized including striving for continuity of care, quality of care, and an emphasis on the patient with a disease in the context of his environment.  Students should become comfortable with their assessments and develop confidence in their therapeutic decisions while on this rotation."
MFCM,806,Family Medicine Acting Internship,1,"25 to 10. For students to become familiar with issues in hospital-based health care delivery, effective utilization of resources, and improving quality of care among hospitalized patients. Students will also have time in outpatient care, developing similar strategies. Opportunities exist for observing minor surgical cases and performing bedside procedures such as central venous line placement, lumbar puncture, paracentesis, and thoracentesis. Allow the student to assume responsibility, with staff supervision, for inpatient diagnostic workup, management, and discharge planning.  Expose fourth year medical students to the lifestyle of family medicine physicians, with respect to inpatient care, as well as familiarizing the student with duties associated with internship. This opportunity allows responsibility while under supervision and permits the student an intimate look at the demands and rewards of primary care. Night call is required."
MFCM,807,Palliative Medicine and End of Life Care,1,"25 to 10. In this course, the faculty will strive to provide basic information on the interdisciplinary approach to palliative and end-of-life care. The student will be taught skills needed to improve communication with patients with chronic or terminal diseases and appropriate methods of delivering bad news. The student will learn medical management of pain and selected non-pain symptoms in patients with life limiting illness. The student will develop understanding of the comprehensive nature of end-of-life care, the distinctive nature of its patient care model, and its significant place in today by healthcare arena. No night call required."
MFCM,808,Wound Care,1,"25 to 10. This course offers extensive clinical experience in comprehensive wound care, including the use of the latest dressings, sharp debridement, administration and interpretation of transcutaneous oxygen monitoring, application of bioengineered skin products, application of total contact casting, compression therapy and hyperbaric oxygen therapy. At the end of the elective, the student should be able to distinguish between various types of wounds, determine the etiology of common wounds, and understand the various reasons chronic wounds do not heal. Night or weekend call will not be required, but may be optional if student wishes to be called for emergency Hyperbaric Oxygen Treatments. No night call required."
MFCM,809,Indigent Care,1,"25 to 10. Participants will actively be involved in the management of patients at the Healing Hands Ministries Medical Clinic. The clinic is the medical home for many uninsured patients, helping them avoid expensive area hospital ER visits for primary care. Patients receive comprehensive medical and dental services including pediatric care, well-woman care, diabetic education, laboratory services, asthma education, prescription drug benefits, monthly immunizations, social service referral, and specialty care clinics such as orthopedics and arthritis. Healing Hands collaborates with other community providers to coordinate referrals outside its scope of services including extensive diagnostic testing and surgical services. The elective is designed to expose students to the scope of health issues of the medically uninsured and underinsured.  Students will become familiar with various community organizations striving to improve the health of its citizens.  Students will understand the importance of promoting public health and gain insight into the practice of preventative medicine and the impact it will have on patients' health in the future. All aspects occur under direct, on-site supervision by faculty. Night call is not required."
MFCM,810,Healthcare for the Underserved,1,"25 to 10. The elective is designed to expose students to the scope of health issues of patients who are indigent and lack access to health insurance. Students will become familiar with various community organizations striving to improve the health of its underserved citizens. Students will understand the importance of promoting public health and gain insight into the practice of preventive medicine and the impact it will have on patients' health in the future. Clinical experiences will primarily be at the Baylor Community Care clinics, with some exposure to home visits with the home visit team.  Students will work with family medicine and internal medicine physicians, nurse practitioners, community health workers and social workers to understand the importance of a multidisciplinary team approach to patient care."
MFCM,811,Intensive Care Unit,1,"25 to 10. This elective will strive to: provide fourth year medical students with the opportunity to function as an cting Intern in the Intensive Care Unit supervised by upper level residents, Hospitalist Fellows and Attending Faculty. Teach fourth year students an evidence based approach to the care of critically ill patients in the ICU. Provide fourth year students with an in depth exposure to a variety of medical illnesses encountered in Internal Medicine. Allow the student to perform diagnostic procedures on their patients when indicated."
MFCM,812,Geriatric Medicine,1,"25 to 10. This elective will strive to: increase student awareness of the unique characteristics of the elderly, understand the normal aging process, and differentiate this from disease. Improve the student by ability to assess and treat frail and acutely ill elderly patients, and recognize the unique aspects of drug therapy in the elderly.  Expose the student to the concept of the multidisciplinary care team, in which a variety of health care professionals work together in order to enhance the care of complex patients. Team members include nurses, social workers, chaplains, physical therapist and others. Expose students to comprehensive geriatric assessment, community home services and other services that help to avoid or delay institutional care."
MFCM,813,Family Medicine Acting Internship,1,"25 to 10. This elective will strive to: Expose fourth year medical students to the broad variety of patients, multiple challenges and rewarding lifestyle offered to a Family Physician. Provide students with inpatient and outpatient experiences, which will enhance their skills and prepare them for the duties of a First Year Resident. Provide students with increased responsibility for the care and management of patients with direct supervision from faculty and upper level residents. Provide ample opportunities for community activities to raise awareness of the social, political and economic barriers to health care."
MFCM,814,Inpatient Family Medicine Elective,1,25 to 10. Offered at Memorial Hermann Southwest. The faculty will strive to provide students with a broad spectrum of patients and conditions; provide constructive feedback and guidance; provide increasing independence as appropriate; and familiarize the student with the benefits of an electronic medical record.
MFCM,815,Ambulatory Family Medicine,1,25 to 10. Offered at Physicians at Sugar Creek. The faculty will strive to provide students with a broad spectrum of patients and conditions; provide one-on-one mentoring during the rotation; provide increasing independence as appropriate; and familiarize the student with the benefits of an electronic medical record.
MFCM,817,Indigent Health Care - Community Health,1,"25 to 10. The faculty will strive to expose senior medical student to the scope of health issues of the homeless and indigent. Students will gain insight to the mechanics and complexities of operating and organizing a primary care clinic.  They will also interact with a variety of medical services including the Department of Health, Child/Adult Protective Services, and Mental Health and Mental Retardation."
MFCM,818,Family Practice Acting Internship,1,"25 to 10. For students to become familiar with issues in hospital-based health care deliver, including DRG by, effective utilization of resources, and improving quality of care. Students will also have time in outpatient care, developing similar strategies. Opportunities exist for scrubbing in on minor surgical cases and performing bedside procedures such as central venous line placement, lumbar puncture, paracentesis, and thoracentesis."
MFCM,820,Indigent Health Care,1,25 to 10. The elective is designed to expose students to the scope of health issues of the homeless and indigent.  Students will become familiar with various community organizations striving to improve the health of its citizens.  Students will understand the importance of promoting public health and gain insight into the practice of preventative medicine and the impact it will have on patients' health in the future.
MFCM,821,Family Practice Clinic Outpatient Clerkship,1,"25 to 10. Students will be assigned to a Family Medicine Clinic, have a patient roster, and be responsible for evaluating, treating and following a variety of out-patients with close staff supervision. Hours are 8 - 5 PM, five days a week in the clinic, plus hospital rounds if the student admits a patient. This rotation is offered specifically to students who have a keen interest in Family Medicine, intend to seek residencies in Family Medicine or wish to sharpen their skills and broaden their knowledge in a primary care area.  In addition, fourth year clerks from other institutions may take this rotation in order to acquaint themselves with the Scott and White Family Medicine Residency program."
MFCM,824,Family Medicine Acting Internship,1,25 to 10. Need course description.
MFCM,850,Family Medicine Acting Internship,1,25 to 10. The Family Medicine Acting Internship will provide additional in-depth experience in Family Medicine that allows the student to function as an intern while under supervision. The student will become familiarized with both the duties of internship as well as achieving proficiency in the skills requisite of a first-year resident.
MFCM,985,Off Campus Student Initiated Elective,1,25 to 15. Formally described elective courses at another medical school or off-campus opportunities that are not formally approved electives. The College of Medicine requires that each of these electives be approved prior to the rotation.
MFCM,999,On Campus Student Initiated Elective,1,"25 to 12. This is an on-campus opportunity in the department of Family and Community Medicine in the College of Medicine that is not defined herein. Experiences may include clinical research, basic science research, library research, other basic science activities, and other clinical activities. Students interested in developing an elective of this type should contact the head of the appropriate department for additional details."
MGMT,105,Introduction to Business,3,"(BUSI 1301) Introduction to Business.   Survey of economic systems, forms of business ownership and running the small business; organizing and managing businesses; managing human resources; managing production and information; managing marketing; introducing financial issues including accounting, money, and banking, securities markets; business issues and challenges including legal and regulatory environment, business ethics, and international business. Limited to students in freshman or sophomore classification."
MGMT,209,"Business, Government and Society",3,"Impact of the external environment-legal, political, economic and international-on business behavior; market and non-market solutions to contemporary public policies confronting business persons examined including antitrust law, employment and discrimination law, product safety regulation, consumer protection and ethics. May not be used to satisfy degree requirements for majors in business. Prerequisites: Sophomore classification; for students other than business and agribusiness majors."
MGMT,211,Legal and Social Environment of Business,3,Role of government in business and society; analysis of social policy and legal institutions; ethical problems in management decisions; administrative law; antitrust law; employment and discrimination law; regulation of business transactions; protection of property rights; regulation of information in markets including securities and product safety; international business law. Prerequisite: Sophomore classification.
MGMT,212,Business Law,3,"(BUSI 2301) Business Law.   Legal principles of business; legal reasoning; dispute resolution and procedure; contract law; bankruptcy law; property law; Uniform Commercial Codes sections concerning contracts, security interests, negotiable instruments and sales. Prerequisite: Sophomore classification."
MGMT,261,Introduction to Entrepreneurship,1,Exposure to the mindset of entrepreneurship through interaction with successful entrepreneurs and hands-on activities for exploring the 21st century global entrepreneurial economy. May be taken two times for credit. Must be taken on a satisfactory/unsatisfactory basis. Prerequisite: Freshman classification in the Startup Living Learning Community.
MGMT,289,Special Topics in...,4,Selected topics in an identified area of business and management. May be repeated for credit. Prerequisite: Approval of instructor.
MGMT,309,Survey of Management,3,"Survey for non-business majors of the basic functions and responsibilities of managers; includes the environmental context of management, planning and decision making, organization structure and design, leading and managing people, and the controlling process; issues of globalization, ethics, quality and diversity integrated throughout the course. May not be used to satisfy degree requirements for majors in business. Prerequisites: Junior classification; for students other than business and agribusiness majors."
MGMT,363,Managing People in Organizations,3,"The role and importance of human behavior in organizations; models for understanding individual, group, and team dynamics, including individual differences,  motivation, and leadership; managing organizational change; ethical issues in organizations; cross-cultural issues in managing people in organizations; the organizational context as determined by human resource management and organization design.  Prerequisite: MGMT 211 and admission to upper division in Mays Business School."
MGMT,372,Advanced Concepts in Organizational Behavior,3,"Builds on the survey of organizational behavior in MGMT 363; review of core concepts and their application in organizational settings; includes personality and individual differences, job design, group and team dynamics, leadership and decision-making, conflict and cooperation, cross-cultural aspects of behavior in organizations.  Prerequisite: MGMT 363."
MGMT,373,Managing Human Resources,3,"Strategic issues in managing human resources; shared responsibilities of line managers and human resource staff for developing and implementing human resource policies and procedures; human resource planning; job design, analysis and evaluation; staffing; compensation; performance appraisal; training and development; career management; labor relations; legal, ethical and international issues. Prerequisite: MGMT 363."
MGMT,422,Management Consulting,3,"The field of management consulting from the perspective of both the individual consultant and the consulting firm; fundamentals of diagnosing situations, planning and executing assignments, client management, common mistakes and ethical issues in consulting including a variety of diagnostic and problem-solving methodologies. Prerequisite: MGMT 363."
MGMT,424,"Organizational Design, Change and Development",3,"Aspects of effectively planning for and introducing changes in organizational structures and procedures based on environmental demands; examination of the successful management of organizational and behavioral changes, focusing on planned and unplanned changes, and emphasizing development of change strategies and measurement of change effectiveness. Prerequisite: MGMT 363."
MGMT,425,Human Resource Selection,3,"Theory and application of methods for the recruitment and selection of managerial, non-professional and professional employees; exposure to scientific issues such as reliability and validity, legal issues such as equal opportunity and affirmative action, and selection techniques such as interviews and testing. Prerequisite: MGMT 373."
MGMT,427,Human Resource Compensation,3,"Theories and techniques of designing and managing programs of direct compensation and benefits, including the role of rewards in motivation, job evaluation, pay discrimination and comparable worth, internal and external equity comparisons and benefit plans. Prerequisite: MGMT 373."
MGMT,429,Labor and Industry,3,Brief review of the history of organized labor; critical study of labor-management relations; analysis of fundamentals of labor contracts and administration of contract parts. Prerequisite: Admission to upper division in Mays Business School.
MGMT,430,Employment Discrimination Law,3,"Legal issues surrounding employment discrimination, including disparate treatment and impact; intent; affirmative action; sexual harassment; pregnancy, sex, race, religious, salary, disability, age, and ethnic discrimination; policy issues and perspectives to aid human resource specialists and managers. Prerequisites: Admission to upper division in Mays Business School and senior classification. Cross Listing: WGST 430/MGMT 430."
MGMT,432,Managing the Nonprofit Organization,3,"Broad trends shaping the nonprofit sector, a primary driver of social change and key player in society and the economy that provides an array of goods and services; complex management challenges that confront nonprofits as they balance their mission and values against the requirements of effective management with limited resources. Prerequisite. MGMT 363."
MGMT,435,Labor Law and Policy,3,"Federal and state public policy and laws regulating human resource management including National Labor Relations Act, Railway Labor Act, Fair Labor Standards Act, employment discrimination statutes, statutes regarding public sector unionization, and other relevant legal authorities; various forms of dispute settlement including litigation, mediation, fact finding and arbitration; legal ramifications of strategic human resource management decision making. Prerequisites: Admission to upper division in Mays Business School and senior classification."
MGMT,439,Negotiations,3,"Overview of the various theories and processes of negotiation relevant to the broad spectrum of negotiation problems faced by employees and managers, and in situations outside of organizations; discovery of optimal solutions to problems and means to implement solutions through classroom simulations, role playing and case studies. Prerequisite: MGMT 363."
MGMT,440,Creativity and Innovation in Business,3,"Examines factors that may foster or stifle individual, team, organizational creative performance; presents techniques that may improve creative thinking skills. Prerequisite: MGMT 363."
MGMT,450,International Environment of Business,3,"Broad survey of international business issues; analyzes the environment in which international businesses operate; examines international economic issues including trade theory, investment theory, foreign exchange and capital markets, and balance of payments; introduces multinational enterprises, global competition, international organizations, treaties and international law, national trade policies and the determinants of competitiveness of firms in international markets. Prerequisite: Admission to upper division in Mays Business School. Cross Listing: IBUS 450/MGMT 450."
MGMT,452,International Management,3,"An overview of international management to include international dimensions of organizational behavior, theory, strategy and human resource management; application of theoretical ideas to real-world situations through case analyses, presentations, projects and interactive class discussion. Prerequisite: MGMT 450/IBUS 450 or IBUS 450/MGMT 450, or concurrent enrollment. Cross Listing: IBUS 452/MGMT 452."
MGMT,453,"Emerging Economies: Brazil, Russia, India, China",3,"Examination of present and future dynamics of the emerging economies of Brazil, Russia, India and China and their impact on the developing and developed worlds; importance of BRIC countries and their position in the world; history and development of these countries and the current business environment in each. Prerequisite: MGMT 363. Cross Listing: IBUS 453/MGMT 453."
MGMT,457,Global Entrepreneurship,3,"Practical issues associated with taking small- and medium-size business global; includes importing and exporting, developing global strategies, evaluating market opportunities, regional impact on economies and people. Prerequisite: Admission to upper division in Mays Business School. Cross Listing: IBUS 457/MGMT 457."
MGMT,460,Managing Projects,3,"Application of management processes to complex interdisciplinary organizational environments through the study of program and project management; adoptions of traditional management theories to the project environment; master typical project management microcomputer software for project planning; resource allocation; project budgeting; and control of project cost, schedule and performance. Prerequisite: MGMT 363."
MGMT,461,Entrepreneurship and New Ventures,3,"The entrepreneurial process from conception of a business idea to the actual start up of the venture; environmental scanning for new opportunities; matching individual skills and attributes with the requirements of the venture; evaluating the viability, growth potential and markets for the venture; securing financing; beginning operations. Prerequisites: Admission to upper division in Mays Business School and senior classification."
MGMT,464,The Political Environment of Business,3,"Role of business in contemporary society; the large corporation and its external environment; ownership and control controversy; private and collective choice processes; role of regulation; social issues including pollution, discrimination, consumer protection, corporate social and ethical responsibilities, corporate political activity; international business relations. Prerequisites: MGMT 363 and senior classification."
MGMT,465,Corporate Governance,3,"Overview of the theories and practice of corporate governance; history of corporations, role and relationship of boards of directors, shareholders and management; concepts of agency cost, shareholder activism, executive compensation and international corporate governance in globalized markets; ethical issues and corporate social responsibility. Prerequisite MGMT 363."
MGMT,466,Strategic Management,3,"Strategic issues facing organizations, including top management decision making and social responsibility; environmental and industry analysis; establishing organizational mission and objectives; corporate, business and functional level strategy formulation; global and multidomestic strategies; strategic implementation and control; integrating operations, finance, marketing and human resource strategies; case analysis. Prerequisites: MGMT 363; FINC 341; SCMT 364; MKTG 321; senior classification."
MGMT,470,Entrepreneurial Small Business,3,"Exploration of practical approaches to growing a small business, evaluating and projecting financial performance, raising capital, legal formations and issues, human resource management, business plan development, franchising and family business; networking opportunities with local business leaders, successful former student entrepreneurs and current student entrepreneurs operating at the student incubator. Prerequisites: Admission to upper division in Mays Business School and senior classification."
MGMT,475,Leadership Development,3,"Explores the evolution of leadership theory and practice with an emphasis on effective and ineffective leaders' traits, behaviors, and styles in profit and not-for-profit work organizations; reviews critical aspects of leader role behavior from theoretical and practical perspectives; examines leader effectiveness at the individual, group, and strategic level. Prerequisite: MGMT 363."
MGMT,477,Entrepreneurial Consulting and Development,3,"Application of current lean startup methodologies working directly with existing student entrepreneurs and mentors in preparing for the launch of a real business at the student incubator (Startup Aggieland); act as advocates and consultants assisting with organizational structure, marketing and market validation, financial analysis and risk assessment. Prerequisites: Junior or senior classification and approval of instructor."
MGMT,481,Seminar in Management,1,Discussions and observation of current management practice in the public and private sectors of the nation; reading and discussion of current events and changes taking place in management theory and/or its application and practice in actual business and government situations. May be repeated for credit. Prerequisites: Admission to upper division in Mays Business School; management major or approval of instructor.
MGMT,484,Management Internship,4,Internship in management: staffing; planning; organizing; leading and controlling. Enrollment is limited to those who have managerial responsibilities for the resources used by a business firm or the like. Prerequisites: Management major; MGMT 363; approval of instructor prior to internship.
MGMT,485,Directed Studies,3,Directed study on selected problems in the area of management not covered in other courses. Prerequisites: Admission to upper division in Mays Business School; senior classification and approval of department head.
MGMT,489,Special Topics in...,4,Selected topics in an identified area of management. Consult the professor offering a particular special topics course for details. May be repeated for credit. Prerequisites: Admission to upper division in Mays Business School and approval of instructor.
MGMT,602,Markets and Public Policy,3,Theoretical underpinnings of business decision making; function and structure of markets; effects of public policy on business activities; includes: antitrust; securities; labor discrimination; products liability. Prerequisite: Graduate classification.
MGMT,610,Business and Public Policy,3,Role of business organizations in the United States and other countries; topics pertaining to the external political and social environment of business and the implications for business managers including market failures and political failures as well as equity and ethical issues; case studies with business/government problems. Prerequisite: Graduate classification.
MGMT,611,Microfoundations of Business Behavior,3,"A multi-disciplinary analysis of the foundations of business behavior discussing business interaction with customers under alternative market conditions and interaction with suppliers, investors, employees and other stakeholders, considered in the context of alternative legal, political and social institutional arrangements. Classification 6 students may not enroll in this course. Prerequisites: Enrollment is limited to BUAD classification 7."
MGMT,612,Business Applications of Price Theory,3,"Application of price theory framework to decisions facing managers. Topics include political, legal and regulatory environments of business; corporate governance and antitakeover regulations; principal-agent problems in large corporations. Prerequisite: Doctoral classification."
MGMT,613,Managerial Macroeconomics,3,Analysis of domestic and global macroeconomic issues from a managerial perspective; analysis of current and historical macroeconomic events at the national and global levels; analysis of business cycles and monetary and fiscal policies; managerial decisions in the context of changing macroeconomic environment. Prerequisite: Enrollment is limited to BUAD classification 7.
MGMT,614,Managing People in Organizations,3,"Procurement and management of people in organizations including human resource management principles and analysis of how organizations function; performance appraisal, compensation, training, leadership, group dynamics, decision-making, control mechanisms and organizational change processes. Classification 6 students may not enroll in this course. Prerequisite: Enrollment is limited to BUAD classification 7."
MGMT,618,Corporate Strategy and the Political Environment of Business,3,Formulation and implementation of corporate strategy with consideration of the political environment of business. Classification 6 students may not enroll in this course. Prerequisites: Enrollment is limited to BUAD classification 7.
MGMT,620,Managing Human Resources,3,"Survey of human resource management; formulation and implementation of human resource strategy addressed for areas including planning, recruitment, selection, job choice, training, development, appraisal, compensation, benefits, labor relations, international human resource issues and legal compliance. Prerequisite: Graduate classification."
MGMT,621,Research Methods for HR Professionals,3,"Direct experience in formulation of HRM issues as hypotheses and selection and implementation of appropriate research designs and statistical tools to evaluate such hypotheses; properties of appropriate criteria, measures, designs and statistical tests in context of contemporary HRM issues; ethical issues in HRM research. Prerequisites: STAT 651 or equivalent; graduate classification."
MGMT,622,Organizational Staffing,3,"Foundations and operating aspects of recruitment, selection and placement in various types of organizations; coverage of scientific and legal issues affecting human resource selection decisions from a managerial perspective; examination of the usefulness of various methods used in job analysis, selection, and performance appraisal; introduction to ""job match"" from various perspectives. Prerequisite: Graduate classification."
MGMT,623,Compensation Management,3,"Strategic and technical considerations in the management of employee compensation in organizations; including job evaluation systems, legal issues, comparable worth, rewards as a consideration in motivation and satisfaction, wage levels and structures, merit ratings, individual and group incentives and benefit plans. Prerequisite: Graduate classification."
MGMT,624,Seminar in Human Resources,3,"Seminar on theory and research in human resource management; includes: planning, search and decision theory, organizational entry and socialization, staffing theories, validity generalization, utility theory, performance measurement and evaluation, reward systems, organizational justice and employee rights, employee development and employee withdrawal. Prerequisite: Doctoral classification or approval of instructor."
MGMT,625,Human Resource Development,3,"Examination of training, education and development within organizations from both a strategic and operational perspective; analysis of needs, program design and methods, program implementation and evaluation, including transfer or learning issues; legal and ethical human resource development issues; implications and practices of human resource development for enhancing global competitiveness. Prerequisite: Graduate classification."
MGMT,626,Teams in Organizations,3,Cutting edge thinking on leading in team-based organizations including the organizational changes required to move to a team-based structure and the organizational factors required to create successful work teams. Prerequisite: Graduate classification.
MGMT,628,Contemporary Human Resource Management Issues,3,Application of human resource theory to contemporary human resource management issues; impact of these issues for the organization and on the strategic role of the human resource professional; guest speakers; student projects. Prerequisite: Second-year enrollment in the Master of Science in management program or approval of instructor.
MGMT,630,Behavior in Organizations,3,"Organizational behavior theory, research and applications; focuses on the individual and group levels of analysis; includes: learning principles, perceptions, attitudes and job satisfaction, work motivation, job design, group properties and processes, leadership, conflict, communication, personality influences on work attitudes and behaviors, work-life issues and job stress. Prerequisite: Graduate classification."
MGMT,632,Technology Commercialization,3,"Focus on technology, process of evaluating raw technology viability, converting raw technology into commercially viable products and services; includes model on Small Business Innovation Research (SBIR) grant program; develops competencies skills to evaluate technology's commercial viability; brings viable technologies to commercial success. Prerequisite: Graduate classification."
MGMT,633,Organizational Change and Development,3,"Organizational change theory, processes and models; the role of change agents; organizational diagnosis and intervention; culture, process, strategy, structure and technology changes in organizations; evaluation research on organizational change; problems and issues in organizational change. Prerequisite: Graduate classification."
MGMT,634,Seminar In Organizational Behavior,3,"Theory and research in organizational behavior; includes: operant and social learning theories, work motivation, job satisfaction and affect at work, task design, absenteeism and turnover, prosocial behavior, leadership, group properties and processes and work linkages and job stress. Prerequisites: MGMT 630 or equivalent; doctoral classification or approval of instructor."
MGMT,635,Employment Regulation,3,"Overview of regulatory environment of human resource management; topics include: equal employment opportunity and affirmative action, benefits regulation, workplace safety, workers' compensation, labor relations, and international aspects of employment regulation. Prerequisite: Graduate classification."
MGMT,636,Seminar in Organization Theory,3,"Research literature in organization theory focusing on major theoretical perspectives and content areas; includes: design of organizational structure and control systems; analysis or organization-environment relations, including interorganizational relationships; managing organizational technology and innovation; information processing and decision making; and organizational culture, conflict and power. Prerequisite: Doctoral classification or approval of instructor."
MGMT,637,Foundations of Entrepreneurship,3,"Process of launching a new venture; process by which opportunities can be discovered and selected; attributes of entrepreneurs and new venture teams; process of developing business plan; core entrepreneurial strategies--business level, organizational design, marketing, financial; strives to develop competencies, concepts, operational tools relevant to creating, implementing new ventures. Prerequisite: Graduate classification."
MGMT,638,Strategic Entrepreneurship,3,"Emphasis on a firm's need to be both entrepreneurial (identifying opportunities in the market) and strategic (taking actions to gain a competitive advantage) in order to create value for stakeholders; includes: developing an entrepreneurial mindset; building an entrepreneurial culture; managing resources (building a resource portfolio, bundling resources to create capabilities and leveraging the capabilities to exploit the opportunities identified); creating innovations. Prerequisite: Graduate classification."
MGMT,639,Negotiations in Competitive Environments,3,"Understanding prescriptive and descriptive negotiation theory as it applies to dyadic and multi-party negotiations, to buyer-seller transactions, dispute resolution, development of negotiation strategy and management of integrative and distributive aspects of the negotiation process. Prerequisite: Graduate classification."
MGMT,640,Managing for Creativity and Innovation,3,"Examines factors that may foster or stifle individual, team, or organizational creative performance, and presents techniques that may improve the student's creative thinking skills. Prerequisite: Graduate classification."
MGMT,643,Foundations of Managerial Law,3,"Basic legal relationships and issues encountered by managers and organizations; American legal system, administrative law, alternative dispute resolution and selected substantive areas of law (e.g., environmental protection, discrimination, negotiable instruments). Prerequisite: Graduate classification."
MGMT,645,Legal and Ethical Issues in Business,3,"An overview of legal compliance programs, business ethics and social responsibility issues. Prerequisite: Approval of instructor."
MGMT,650,Human Relations and Collective Bargaining in Industry,3,Labor management relationship and human relations problems encountered during union administration; labor history; basic construction of the National Labor Relations Act; alternative dispute resolution; contemporary labor relations issues; international labor relations issues. Prerequisite: Graduate classification.
MGMT,655,Survey of Management,3,"Management concepts and applications important to managers in all types and sizes of organizations; includes: strategic planning, goal setting, control and managerial ethics; decision making, organizing, human resource management, including staffing, performance appraisal and compensation; leadership, motivation, communication and group processes; achieving organizational quality and managing in a global environment. Prerequisite: Graduate classification. Note: Course may not be used for elective credit by a master's candidate in business administration."
